HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Burnley,Swansea,0,1,A,10,17,3,9
CrystalPalace,WestBrom,0,1,A,14,13,4,3
Everton,Tottenham,1,1,D,12,13,6,4
Hull,Leicester,2,1,H,14,18,5,5
ManCity,Sunderland,2,1,H,16,7,4,3
Middlesbrough,Stoke,1,1,D,12,12,2,1
Southampton,Watford,1,1,D,24,5,6,1
Arsenal,Liverpool,3,4,A,9,16,5,7
Bournemouth,ManUnited,1,3,A,9,11,3,7
Chelsea,WestHam,2,1,H,16,7,6,3
ManUnited,Southampton,2,0,H,12,13,5,1
Burnley,Liverpool,2,0,H,3,26,2,5
Leicester,Arsenal,0,0,D,8,13,1,4
Stoke,ManCity,1,4,A,8,12,3,6
Swansea,Hull,0,2,A,13,12,3,4
Tottenham,CrystalPalace,1,0,H,20,10,5,2
Watford,Chelsea,1,2,A,6,13,2,4
WestBrom,Everton,1,2,A,11,13,4,7
Sunderland,Middlesbrough,1,2,A,18,8,5,3
WestHam,Bournemouth,1,0,H,15,8,2,5
Chelsea,Burnley,3,0,H,22,6,10,0
CrystalPalace,Bournemouth,1,1,D,24,10,5,3
Everton,Stoke,1,0,H,21,8,9,1
Hull,ManUnited,0,1,A,8,29,2,9
Leicester,Swansea,2,1,H,13,9,6,3
Southampton,Sunderland,1,1,D,16,5,7,2
Tottenham,Liverpool,1,1,D,11,13,4,3
Watford,Arsenal,1,3,A,14,10,6,7
ManCity,WestHam,3,1,H,22,9,5,2
WestBrom,Middlesbrough,0,0,D,13,7,2,2
Arsenal,Southampton,2,1,H,17,11,2,5
Bournemouth,WestBrom,1,0,H,12,12,5,2
Burnley,Hull,1,1,D,13,11,2,3
Liverpool,Leicester,4,1,H,17,12,11,3
ManUnited,ManCity,1,2,A,14,18,3,6
Middlesbrough,CrystalPalace,1,2,A,12,12,4,4
Stoke,Tottenham,0,4,A,15,20,2,8
WestHam,Watford,2,4,A,19,13,4,8
Swansea,Chelsea,2,2,D,6,28,2,7
Sunderland,Everton,0,3,A,11,20,2,9
Chelsea,Liverpool,1,2,A,12,13,4,5
Everton,Middlesbrough,3,1,H,11,7,6,0
Hull,Arsenal,1,4,A,6,24,2,9
Leicester,Burnley,3,0,H,14,7,6,2
ManCity,Bournemouth,4,0,H,20,6,12,2
WestBrom,WestHam,4,2,H,8,23,6,5
CrystalPalace,Stoke,4,1,H,14,11,8,4
Southampton,Swansea,1,0,H,19,9,6,3
Tottenham,Sunderland,1,0,H,31,6,9,2
Watford,ManUnited,3,1,H,10,15,5,2
Arsenal,Chelsea,3,0,H,14,9,5,2
Bournemouth,Everton,1,0,H,12,13,1,2
Liverpool,Hull,5,1,H,32,2,12,1
ManUnited,Leicester,4,1,H,16,10,7,3
Middlesbrough,Tottenham,1,2,A,6,19,2,5
Stoke,WestBrom,1,1,D,12,9,2,3
Sunderland,CrystalPalace,2,3,A,11,20,4,4
Swansea,ManCity,1,3,A,13,18,5,4
WestHam,Southampton,0,3,A,13,18,1,9
Burnley,Watford,2,0,H,13,12,4,3
Everton,CrystalPalace,1,1,D,13,10,3,2
Hull,Chelsea,0,2,A,8,22,3,9
Sunderland,WestBrom,1,1,D,7,17,2,7
Swansea,Liverpool,1,2,A,8,18,3,6
Watford,Bournemouth,2,2,D,17,11,7,2
WestHam,Middlesbrough,1,1,D,19,9,2,3
Burnley,Arsenal,0,1,A,10,18,1,3
Leicester,Southampton,0,0,D,9,11,1,5
ManUnited,Stoke,1,1,D,24,7,9,6
Tottenham,ManCity,2,0,H,13,12,7,6
Arsenal,Swansea,3,2,H,16,13,6,6
Bournemouth,Hull,6,1,H,22,11,10,4
Chelsea,Leicester,3,0,H,16,5,6,0
CrystalPalace,WestHam,0,1,A,12,12,3,4
ManCity,Everton,1,1,D,19,3,8,2
Stoke,Sunderland,2,0,H,18,11,6,1
WestBrom,Tottenham,1,1,D,8,20,4,8
Middlesbrough,Watford,0,1,A,10,4,3,2
Southampton,Burnley,3,1,H,34,6,14,1
Liverpool,ManUnited,0,0,D,9,7,3,1
Arsenal,Middlesbrough,0,0,D,9,11,5,4
Bournemouth,Tottenham,0,0,D,8,16,1,4
Burnley,Everton,2,1,H,9,20,3,8
Hull,Stoke,0,2,A,9,12,2,6
Leicester,CrystalPalace,3,1,H,17,23,4,7
Liverpool,WestBrom,2,1,H,21,6,7,1
Swansea,Watford,0,0,D,11,10,5,2
WestHam,Sunderland,1,0,H,20,10,3,2
Chelsea,ManUnited,4,0,H,14,16,6,5
ManCity,Southampton,1,1,D,14,6,3,2
CrystalPalace,Liverpool,2,4,A,7,17,6,10
ManUnited,Burnley,0,0,D,37,7,11,1
Middlesbrough,Bournemouth,2,0,H,10,15,3,3
Sunderland,Arsenal,1,4,A,3,21,1,7
Tottenham,Leicester,1,1,D,22,6,5,1
Watford,Hull,1,0,H,22,8,0,2
WestBrom,ManCity,0,4,A,9,21,1,8
Everton,WestHam,2,0,H,17,13,6,3
Southampton,Chelsea,0,2,A,9,13,1,7
Stoke,Swansea,3,1,H,17,14,4,6
Bournemouth,Sunderland,1,2,A,22,9,7,4
Burnley,CrystalPalace,3,2,H,14,16,7,5
Chelsea,Everton,5,0,H,21,1,9,0
ManCity,Middlesbrough,1,1,D,25,5,7,3
WestHam,Stoke,1,1,D,9,12,2,4
Arsenal,Tottenham,1,1,D,15,10,2,3
Hull,Southampton,2,1,H,6,19,2,7
Leicester,WestBrom,1,2,A,5,11,2,5
Liverpool,Watford,6,1,H,28,11,17,8
Swansea,ManUnited,1,3,A,6,9,1,3
CrystalPalace,ManCity,1,2,A,9,10,2,4
Everton,Swansea,1,1,D,14,5,6,3
ManUnited,Arsenal,1,1,D,12,5,5,1
Southampton,Liverpool,0,0,D,3,15,0,2
Stoke,Bournemouth,0,1,A,14,9,6,2
Sunderland,Hull,3,0,H,11,17,4,7
Tottenham,WestHam,3,2,H,14,11,6,3
Watford,Leicester,2,1,H,10,10,3,2
Middlesbrough,Chelsea,0,1,A,12,13,1,3
WestBrom,Burnley,4,0,H,16,5,6,2
Burnley,ManCity,1,2,A,10,21,5,5
Chelsea,Tottenham,2,1,H,9,12,5,6
Hull,WestBrom,1,1,D,10,11,4,2
Leicester,Middlesbrough,2,2,D,11,6,3,2
Liverpool,Sunderland,2,0,H,27,6,7,1
Swansea,CrystalPalace,5,4,H,18,12,9,4
Arsenal,Bournemouth,3,1,H,16,9,3,3
ManUnited,WestHam,1,1,D,17,6,8,2
Southampton,Everton,1,0,H,17,13,7,1
Watford,Stoke,0,1,A,11,14,2,1
CrystalPalace,Southampton,3,0,H,9,17,4,3
ManCity,Chelsea,1,3,A,14,10,5,4
Stoke,Burnley,2,0,H,10,14,4,4
Sunderland,Leicester,2,1,H,22,17,6,5
Tottenham,Swansea,5,0,H,28,1,15,0
WestBrom,Watford,3,1,H,11,17,3,5
WestHam,Arsenal,1,5,A,10,19,3,10
Bournemouth,Liverpool,4,3,H,12,10,8,3
Everton,ManUnited,1,1,D,13,10,6,2
Middlesbrough,Hull,1,0,H,16,6,4,2
Arsenal,Stoke,3,1,H,21,12,6,5
Burnley,Bournemouth,3,2,H,16,17,7,4
