HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Arsenal,Leicester,4,3,H,27,6,10,3
Brighton,ManCity,0,2,A,6,14,2,4
Chelsea,Burnley,2,3,A,19,10,6,5
CrystalPalace,Huddersfield,0,3,A,14,8,4,6
Everton,Stoke,1,0,H,9,9,4,1
Southampton,Swansea,0,0,D,29,4,2,0
Watford,Liverpool,3,3,D,9,14,4,5
WestBrom,Bournemouth,1,0,H,16,9,6,2
ManUnited,WestHam,4,0,H,22,9,6,1
Newcastle,Tottenham,0,2,A,6,18,3,6
Bournemouth,Watford,0,2,A,6,19,2,7
Burnley,WestBrom,0,1,A,20,8,0,1
Leicester,Brighton,2,0,H,14,5,4,2
Liverpool,CrystalPalace,1,0,H,23,4,13,1
Southampton,WestHam,3,2,H,14,16,5,8
Stoke,Arsenal,1,0,H,11,18,4,6
Swansea,ManUnited,0,4,A,6,17,1,8
Huddersfield,Newcastle,1,0,H,7,13,3,5
Tottenham,Chelsea,1,2,A,18,9,6,2
ManCity,Everton,1,1,D,19,7,6,2
Bournemouth,ManCity,1,2,A,9,19,3,8
CrystalPalace,Swansea,0,2,A,16,7,3,3
Huddersfield,Southampton,0,0,D,16,6,6,3
ManUnited,Leicester,2,0,H,22,11,7,4
Newcastle,WestHam,3,0,H,16,8,8,3
Watford,Brighton,0,0,D,8,16,0,2
Chelsea,Everton,2,0,H,18,7,7,0
Liverpool,Arsenal,4,0,H,18,8,10,0
Tottenham,Burnley,1,1,D,28,13,5,3
WestBrom,Stoke,1,1,D,10,16,2,2
Arsenal,Bournemouth,3,0,H,15,6,8,1
Brighton,WestBrom,3,1,H,12,12,6,3
Everton,Tottenham,0,3,A,12,15,1,6
Leicester,Chelsea,1,2,A,8,16,2,6
ManCity,Liverpool,5,0,H,13,10,7,3
Southampton,Watford,0,2,A,9,12,1,3
Stoke,ManUnited,2,2,D,10,18,5,8
Burnley,CrystalPalace,1,0,H,4,23,2,5
Swansea,Newcastle,0,1,A,10,16,4,8
WestHam,Huddersfield,2,0,H,19,10,3,2
Bournemouth,Brighton,2,1,H,15,9,3,2
CrystalPalace,Southampton,0,1,A,14,13,3,4
Huddersfield,Leicester,1,1,D,15,10,3,1
Liverpool,Burnley,1,1,D,35,5,9,4
Newcastle,Stoke,2,1,H,14,13,3,4
Tottenham,Swansea,0,0,D,26,4,8,0
Watford,ManCity,0,6,A,7,28,1,10
WestBrom,WestHam,0,0,D,6,9,1,1
Chelsea,Arsenal,0,0,D,13,11,4,2
ManUnited,Everton,4,0,H,16,7,7,3
Burnley,Huddersfield,0,0,D,5,9,3,2
Everton,Bournemouth,2,1,H,12,8,4,4
Leicester,Liverpool,2,3,A,12,23,7,6
ManCity,CrystalPalace,5,0,H,25,5,9,0
Southampton,ManUnited,0,1,A,14,9,4,4
Stoke,Chelsea,0,4,A,13,7,2,4
Swansea,Watford,1,2,A,10,8,3,4
WestHam,Tottenham,2,3,A,10,15,4,5
Brighton,Newcastle,1,0,H,7,17,3,5
Arsenal,WestBrom,2,0,H,16,7,6,3
Bournemouth,Leicester,0,0,D,19,8,4,1
Chelsea,ManCity,0,1,A,4,17,2,6
Huddersfield,Tottenham,0,4,A,6,14,1,7
ManUnited,CrystalPalace,4,0,H,18,6,7,1
Stoke,Southampton,2,1,H,17,21,6,3
WestBrom,Watford,2,2,D,9,15,4,3
WestHam,Swansea,1,0,H,9,6,4,1
Arsenal,Brighton,2,0,H,25,9,12,1
Everton,Burnley,0,1,A,23,5,4,2
Newcastle,Liverpool,1,1,D,8,17,5,2
Burnley,WestHam,1,1,D,20,8,5,6
CrystalPalace,Chelsea,2,1,H,14,15,5,5
Liverpool,ManUnited,0,0,D,19,6,5,1
ManCity,Stoke,7,2,H,20,5,11,1
Swansea,Huddersfield,2,0,H,7,7,3,2
Tottenham,Bournemouth,1,0,H,18,5,6,1
Watford,Arsenal,2,1,H,11,9,2,6
Brighton,Everton,1,1,D,12,13,3,6
Southampton,Newcastle,2,2,D,12,19,2,5
Leicester,WestBrom,1,1,D,11,5,3,1
WestHam,Brighton,0,3,A,16,7,2,5
Chelsea,Watford,4,2,H,14,16,8,5
Huddersfield,ManUnited,2,1,H,5,9,3,3
ManCity,Burnley,3,0,H,15,6,10,0
Newcastle,CrystalPalace,1,0,H,7,10,3,0
Southampton,WestBrom,1,0,H,20,7,6,2
Stoke,Bournemouth,1,2,A,10,7,2,3
Swansea,Leicester,1,2,A,19,11,4,6
Everton,Arsenal,2,5,A,8,30,3,14
Tottenham,Liverpool,4,1,H,14,12,6,7
Arsenal,Swansea,2,1,H,17,4,5,2
Bournemouth,Chelsea,0,1,A,7,18,1,5
CrystalPalace,WestHam,2,2,D,19,6,9,2
Liverpool,Huddersfield,3,0,H,16,1,8,0
ManUnited,Tottenham,1,0,H,11,13,3,4
Watford,Stoke,0,1,A,13,6,0,2
WestBrom,ManCity,2,3,A,6,15,4,5
Brighton,Southampton,1,1,D,7,6,2,1
Leicester,Everton,2,0,H,9,16,3,2
Burnley,Newcastle,1,0,H,12,12,5,5
Huddersfield,WestBrom,1,0,H,7,9,3,3
Newcastle,Bournemouth,0,1,A,16,16,4,6
Southampton,Burnley,0,1,A,13,5,3,1
Stoke,Leicester,2,2,D,11,14,7,4
Swansea,Brighton,0,1,A,12,5,2,2
WestHam,Liverpool,1,4,A,6,15,1,7
Chelsea,ManUnited,1,0,H,18,10,8,2
Everton,Watford,3,2,H,10,11,5,3
ManCity,Arsenal,3,1,H,9,6,5,3
Tottenham,CrystalPalace,1,0,H,12,11,2,3
Arsenal,Tottenham,2,0,H,14,14,5,4
Bournemouth,Huddersfield,4,0,H,11,20,5,3
Burnley,Swansea,2,0,H,16,13,7,1
CrystalPalace,Everton,2,2,D,16,8,7,5
Leicester,ManCity,0,2,A,2,12,0,4
Liverpool,Southampton,3,0,H,21,5,8,0
ManUnited,Newcastle,4,1,H,16,12,7,5
WestBrom,Chelsea,0,4,A,7,11,2,7
Watford,WestHam,2,0,H,17,10,7,6
Brighton,Stoke,2,2,D,9,13,3,6
WestHam,Leicester,1,1,D,8,7,4,2
CrystalPalace,Stoke,2,1,H,10,9,5,3
Liverpool,Chelsea,1,1,D,16,11,4,3
ManUnited,Brighton,1,0,H,15,8,4,2
Newcastle,Watford,0,3,A,12,12,2,4
Swansea,Bournemouth,0,0,D,10,9,1,5
Tottenham,WestBrom,1,1,D,24,5,5,2
Burnley,Arsenal,0,1,A,8,17,2,2
Huddersfield,ManCity,1,2,A,4,14,0,5
Southampton,Everton,4,1,H,17,5,5,2
Brighton,CrystalPalace,0,0,D,10,10,4,4
Leicester,Tottenham,2,1,H,7,18,4,6
Watford,ManUnited,2,4,A,12,15,3,7
WestBrom,Newcastle,2,2,D,8,14,4,4
