HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Bournemouth,AstonVilla,0,1,A,11,7,2,3
Chelsea,Swansea,2,2,D,11,18,3,10
Everton,Watford,2,2,D,10,11,5,5
Leicester,Sunderland,4,2,H,19,10,8,5
ManUnited,Tottenham,1,0,H,9,9,1,4
Norwich,CrystalPalace,1,3,A,17,11,6,7
Arsenal,WestHam,0,2,A,22,8,6,4
Newcastle,Southampton,2,2,D,9,15,4,5
Stoke,Liverpool,0,1,A,7,8,1,3
WestBrom,ManCity,0,3,A,9,19,2,7
AstonVilla,ManUnited,0,1,A,5,9,1,2
Southampton,Everton,0,3,A,17,10,4,4
Sunderland,Norwich,1,3,A,6,19,2,6
Swansea,Newcastle,2,0,H,19,4,6,2
Tottenham,Stoke,2,2,D,13,16,7,7
Watford,WestBrom,0,0,D,16,6,5,0
WestHam,Leicester,1,2,A,10,11,3,6
CrystalPalace,Arsenal,1,2,A,11,20,4,7
ManCity,Chelsea,3,0,H,18,10,8,3
Liverpool,Bournemouth,1,0,H,18,13,2,2
CrystalPalace,AstonVilla,2,1,H,16,11,6,2
Leicester,Tottenham,1,1,D,13,19,2,6
ManUnited,Newcastle,0,0,D,20,7,8,0
Norwich,Stoke,1,1,D,21,6,7,1
Sunderland,Swansea,1,1,D,10,20,2,9
WestHam,Bournemouth,3,4,A,10,15,4,7
Everton,ManCity,0,2,A,10,16,1,9
Watford,Southampton,0,0,D,13,14,0,5
WestBrom,Chelsea,2,3,A,15,15,6,5
Arsenal,Liverpool,0,0,D,19,15,5,8
AstonVilla,Sunderland,2,2,D,21,7,6,3
Bournemouth,Leicester,1,1,D,5,4,2,2
Chelsea,CrystalPalace,1,2,A,26,13,9,6
Liverpool,WestHam,0,3,A,13,12,1,5
ManCity,Watford,2,0,H,18,7,5,0
Newcastle,Arsenal,0,1,A,1,22,0,9
Stoke,WestBrom,0,1,A,13,15,5,5
Tottenham,Everton,0,0,D,20,8,6,3
Southampton,Norwich,3,0,H,23,6,8,1
Swansea,ManUnited,2,1,H,9,11,4,4
Arsenal,Stoke,2,0,H,29,9,12,4
CrystalPalace,ManCity,0,1,A,10,21,2,7
Everton,Chelsea,3,1,H,14,15,9,2
ManUnited,Liverpool,3,1,H,9,8,3,4
Norwich,Bournemouth,3,1,H,12,7,4,2
Watford,Swansea,1,0,H,17,8,6,3
WestBrom,Southampton,0,0,D,8,14,1,4
Leicester,AstonVilla,3,2,H,21,11,6,4
Sunderland,Tottenham,0,1,A,12,15,2,4
WestHam,Newcastle,2,0,H,17,14,3,4
AstonVilla,WestBrom,0,1,A,13,11,3,6
Bournemouth,Sunderland,2,0,H,15,9,5,2
Chelsea,Arsenal,2,0,H,22,9,7,2
ManCity,WestHam,1,2,A,27,6,8,3
Newcastle,Watford,1,2,A,15,13,5,4
Stoke,Leicester,2,2,D,11,12,4,5
Swansea,Everton,0,0,D,12,17,3,2
Liverpool,Norwich,1,1,D,23,7,7,2
Southampton,ManUnited,2,3,A,15,10,8,3
Tottenham,CrystalPalace,1,0,H,22,12,6,4
Leicester,Arsenal,2,5,A,16,26,7,12
Liverpool,AstonVilla,3,2,H,21,10,12,4
ManUnited,Sunderland,3,0,H,12,9,7,4
Newcastle,Chelsea,2,2,D,11,16,5,4
Southampton,Swansea,3,1,H,18,11,7,4
Stoke,Bournemouth,2,1,H,8,11,5,6
Tottenham,ManCity,4,1,H,15,22,8,8
WestHam,Norwich,2,2,D,19,16,7,7
Watford,CrystalPalace,0,1,A,15,16,2,3
WestBrom,Everton,2,3,A,9,12,4,4
AstonVilla,Stoke,0,1,A,13,12,2,5
Bournemouth,Watford,1,1,D,12,11,6,2
Chelsea,Southampton,1,3,A,10,13,3,5
CrystalPalace,WestBrom,2,0,H,21,7,8,2
ManCity,Newcastle,6,1,H,23,6,11,4
Norwich,Leicester,1,2,A,17,16,2,5
Sunderland,WestHam,2,2,D,12,20,3,6
Arsenal,ManUnited,3,0,H,12,9,5,5
Everton,Liverpool,1,1,D,14,13,4,4
Swansea,Tottenham,2,2,D,11,19,2,11
Chelsea,AstonVilla,2,0,H,9,8,3,1
CrystalPalace,WestHam,1,3,A,6,24,1,4
Everton,ManUnited,0,3,A,12,10,3,7
ManCity,Bournemouth,5,1,H,15,5,11,1
Southampton,Leicester,2,2,D,14,26,6,7
